[0.13501016 0.12577773 0.12031404]
[0.20577961 0.14728955 0.09800458]
         3511931 function calls (3446126 primitive calls) in 8.431 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  128/117    0.002    0.000    0.045    0.000 _docstring.py:122(__call__)
     3766    0.002    0.000    0.045    0.000 _docscrape.py:85(read_to_next_unindented_line)
        1    0.000    0.000    0.044    0.044 colors.py:1(<module>)
        2    0.000    0.000    0.044    0.022 _backend_tk.py:625(delayed_destroy)
        2    0.000    0.000    0.044    0.022 __init__.py:2383(destroy)
150294/150274    0.034    0.000    0.044    0.000 {built-in method builtins.isinstance}
56964/56961    0.035    0.000    0.044    0.000 {method 'join' of 'str' objects}
      241    0.044    0.000    0.044    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.043    0.043 _coordinate_descent.py:1(<module>)
        1    0.000    0.000    0.043    0.043 _new_distributions.py:1(<module>)
        4    0.000    0.000    0.042    0.011 _distribution_infrastructure.py:1326(_combine_docs)
        1    0.000    0.000    0.042    0.042 crackfortran.py:1(<module>)
    11583    0.025    0.000    0.042    0.000 inspect.py:2712(__init__)
        6    0.000    0.000    0.041    0.007 transforms.py:922(update_from_data_xy)
        6    0.000    0.000    0.041    0.007 transforms.py:850(update_from_path)
        6    0.041    0.007    0.041    0.007 {built-in method matplotlib._path.update_path_extents}
        6    0.000    0.000    0.040    0.007 validation.py:2793(validate_data)
        2    0.015    0.007    0.040    0.020 _data.py:545(transform)
        6    0.000    0.000    0.040    0.007 validation.py:725(check_array)
        2    0.022    0.011    0.040    0.020 _pca.py:544(_fit_full)
   207776    0.039    0.000    0.039    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.039    0.020 deprecation.py:442(wrapper)
      980    0.001    0.000    0.039    0.000 __init__.py:751(__setitem__)
   147801    0.039    0.000    0.039    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.039    0.019 _axes.py:4782(scatter)
  655/511    0.002    0.000    0.038    0.000 typing.py:392(inner)
        1    0.000    0.000    0.038    0.038 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.038    0.038 _index_tricks_impl.py:1(<module>)
 2716/367    0.016    0.000    0.038    0.000 _compiler.py:37(_compile)
       42    0.000    0.000    0.037    0.001 dataclasses.py:1257(wrap)
       42    0.003    0.000    0.037    0.001 dataclasses.py:921(_process_class)
       25    0.001    0.000    0.037    0.001 _util.py:290(decorator)
       14    0.000    0.000    0.037    0.003 _docstring.py:73(__missing__)
     1581    0.007    0.000    0.037    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.036    0.036 config_init.py:1(<module>)
    20713    0.022    0.000    0.035    0.000 _docscrape.py:57(seek_next_non_empty_line)
        3    0.000    0.000    0.035    0.012 _linalg.py:1(<module>)
    89185    0.024    0.000    0.034    0.000 _docscrape.py:64(eof)
        1    0.000    0.000    0.034    0.034 art3d.py:1(<module>)
      134    0.002    0.000    0.034    0.000 _metadata_requests.py:1424(__init_subclass__)
        1    0.000    0.000    0.034    0.034 defmatrix.py:1(<module>)
      405    0.001    0.000    0.034    0.000 <frozen abc>:105(__new__)
      398    0.005    0.000    0.034    0.000 _util.py:524(getfullargspec_no_self)
     2698    0.011    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        1    0.000    0.000    0.033    0.033 _interpolate.py:1(<module>)
      926    0.032    0.000    0.032    0.000 {built-in method numpy.array}
     4775    0.005    0.000    0.032    0.000 __init__.py:179(sub)
        1    0.000    0.000    0.032    0.032 _axes.py:67(Axes)
        2    0.000    0.000    0.032    0.016 category.py:1(<module>)
     1322    0.008    0.000    0.032    0.000 _metadata_requests.py:1458(_get_class_level_metadata_request_values)
       26    0.000    0.000    0.032    0.001 __init__.py:2636(__init__)
        1    0.000    0.000    0.032    0.032 _classification_threshold.py:1(<module>)
      474    0.003    0.000    0.032    0.000 _array_api.py:744(_make_capabilities_note)
        8    0.000    0.000    0.031    0.004 _docscrape.py:626(__init__)
   162813    0.030    0.000    0.030    0.000 {method 'strip' of 'str' objects}
    23944    0.030    0.000    0.030    0.000 {method 'split' of 'str' objects}
108471/107911    0.029    0.000    0.030    0.000 {built-in method builtins.getattr}
